,KreisID,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,Breitband_Kreise,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen.Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Breitband_GemVB,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name,Weib 10 bis unter 15 Jahre,Weib 15 bis unter 18 Jahre,Weib 18 bis unter 20 Jahre,Weib 20 bis unter 25 Jahre,Weib 25 bis unter 30 Jahre,Weib 3 bis unter 6 Jahre,Weib 30 bis unter 35 Jahre,Weib 35 bis unter 40 Jahre,Weib 40 bis unter 45 Jahre,Weib 45 bis unter 50 Jahre,Weib 50 bis unter 55 Jahre,Weib 55 bis unter 60 Jahre,Weib 6 bis unter 10 Jahre,Weib 60 bis unter 65 Jahre,Weib 65 bis unter 75 Jahre,Weib 75 Jahre und mehr,Weib Insgesamt,Weib unter 3 Jahre,Mann 10 bis unter 15 Jahre,Mann 15 bis unter 18 Jahre,Mann 18 bis unter 20 Jahre,Mann 20 bis unter 25 Jahre,Mann 25 bis unter 30 Jahre,Mann 3 bis unter 6 Jahre,Mann 30 bis unter 35 Jahre,Mann 35 bis unter 40 Jahre,Mann 40 bis unter 45 Jahre,Mann 45 bis unter 50 Jahre,Mann 50 bis unter 55 Jahre,Mann 55 bis unter 60 Jahre,Mann 6 bis unter 10 Jahre,Mann 60 bis unter 65 Jahre,Mann 65 bis unter 75 Jahre,Mann 75 Jahre und mehr,Mann Insgesamt,Mann unter 3 Jahre
65,16064,12.9,4.87,116.6,65.4,8.2,1.79,92,25.8,13.5381305322711,11.3391666666667,1.4,32.3,-1.3,45.0075,6.0925,99,76.3,43.8,82.1,163,10.8,4.2,11.2,380,21500,92,20.4,8.6,27,1199.3,52.6,4.5,10.1,0.57,2044,88.3,1,NA,9,106,6.92666666666667,8.035,25.8,12.3666666666667,-1.7,NA,69.6,5.26166666666667,1236.4,92,NA,1932.8,NA,51.9,LK Unstrut-Hainich-Kreis,2243,1355,730,1547,2136,1363,2846,3057,2649,3215,4077,4659,1805,4235,6269,8290,51793,1317,2400,1397,893,1924,2264,1433,3257,3447,2959,3602,4202,4675,1902,4118,5907,5335,51119,1404
66,16065,13.5,5.72416666666667,67,66.1,5.4,2.2,72.6,20.9,15.2366924095762,7.79416666666667,1.5,27.8,-2.5,42.49,5.85583333333333,94.3,74.7,46.3,79.9,145,9,9.6,12.5,348,19200,72.6,20.5,8.4,21.5,1340.2,58,4.5,11,0.78,2182,89,1,NA,8.2,74,7.32833333333333,8.08916666666667,20.9,15.0166666666667,-2.9,NA,74.5,6.48333333333333,884.9,92.2,NA,2005.8,NA,53.4,LK Kyffhäuserkreis,1484,877,549,990,1350,823,1996,2026,1810,2317,3014,3589,1162,3378,5188,6370,37735,812,1599,993,658,1219,1554,949,2297,2278,2100,2532,3210,3555,1265,3259,4734,4174,37274,898
67,16066,14.9,4.965,68.4,64,4.3,1.45,76,23.7,14.6671597761937,8.77166666666667,1.8,25.7,-0.9,51.3766666666667,5.495,98.4,76.6,43.6,82.1,153,9.1,8.5,6.9,428,24400,76,23.9,9.3,23.1,472.8,53,5.2,5.9,0.62,2130,87.5,1,NA,9.8,103,8.01,9.19166666666667,23.7,13.75,-1.6,NA,83.2,5.81166666666667,1115.2,91.3,NA,1991.4,NA,54.5,LK Schmalkalden-Meiningen,2314,1355,897,1823,2244,1552,3365,3424,3074,3746,4941,5757,1879,5142,8021,10208,61161,1419,2450,1390,992,2431,2812,1614,4083,4121,3530,4263,4977,5724,2111,5111,7354,6758,61186,1465
68,16067,12.8,4.42666666666667,39,49.5,6.5,1.07,85.5,35.7,12.8182971322875,7.56166666666667,3.1,33.5,2.4,25.5183333333333,5.2725,96.7,77,42.5,82.3,203,6.4,7.8,8,436,24600,85.5,25,10.4,27.6,823.2,47.4,5.2,7.3,0.42,2229,87.4,4,NA,9.1,145,7.04916666666667,8.58666666666667,35.7,13.9833333333333,-0.4,NA,68.9,5.13,1396.9,90.5,NA,2067.4,NA,50.3,LK Gotha,2753,1710,1021,2178,2727,1758,3983,4035,3530,4354,5351,6055,2335,5338,8574,10566,67984,1716,2926,1816,1252,2733,3084,1809,4377,4628,4072,4901,5627,5981,2357,5335,7722,7105,67468,1743
69,16068,11.2,5.10833333333333,0,56.7,6.3,1.71,38.7,23.9,14.0101051613488,8.125,1.3,25.4,-1.3,22.7466666666667,5.86666666666667,97.9,75.3,43.4,81.2,192,9.9,13.6,10,446,20700,38.7,26.5,8.1,19.5,1363.8,54,7.3,8.7,0.71,2101,89.6,1,NA,7.4,87,6.39166666666667,7.32166666666667,23.9,14.5666666666667,-1.4,NA,68.3,5.72333333333333,1075.4,92.6,NA,1983.3,NA,56.6,LK Sömmerda,1456,837,495,968,1285,860,1974,2127,1891,2279,2827,3228,1213,3036,4570,5003,34893,844,1581,964,578,1163,1389,1001,2142,2375,2087,2659,2951,3239,1265,2876,4307,3221,34762,964
70,16071,13.1,5.32166666666667,136.5,56.3,6.3,0.98,59.4,30.9,12.1426532136786,7.535,1.9,35.3,-0.7,17.27,5.8,94.6,77.1,44.3,81.8,231,7.9,8.1,7.3,465,22300,59.4,16.5,9.5,27.3,792,56.2,4.7,6.5,0.28,2144,88.8,4,NA,9.9,102,7.67333333333333,9.29166666666667,30.9,10.9666666666667,-1,NA,68.8,5.53666666666667,1070.6,91.2,NA,2074.5,NA,56.7,LK Weimarer Land,1845,1063,597,1206,1480,1191,2390,2572,2292,2630,3423,3693,1632,3485,5163,5620,41302,1020,1929,1120,689,1380,1545,1172,2394,2719,2616,3011,3422,3728,1594,3390,5072,3755,40645,1109
71,16073,13,6.66,90.3,68.4,5.5,1.41,38.1,30.5,16.0782636363636,8.72333333333333,1.6,28,-2.1,44.8683333333333,6.55,97.5,75.9,43.2,82.5,168,9.4,9.3,8.6,433,24000,38.1,27.6,8,25.5,1267.5,46.9,5.1,8,0.52,2245,89.1,1,NA,11.1,106,6.76833333333333,8.08333333333333,30.5,14.15,-2.6,NA,76.6,6.68833333333333,1330,92.6,NA,2058.7,NA,54,LK Saalfeld-Rudolstadt,1947,1175,717,1368,1764,1213,2755,2806,2650,3275,4162,5005,1657,4557,7320,10421,53968,1176,2026,1285,826,1706,2150,1301,3197,3326,2842,3655,4450,5035,1697,4473,6732,6407,52388,1280
72,16074,12.1,6.05666666666667,79.1,54.8,4.8,1.05,52.8,35.1,12.1087516707401,8.31666666666667,2.5,26.9,-0.8,15.5666666666667,6.56666666666667,95.4,78.3,43.1,83.2,227,8.7,5.7,7.5,432,21400,52.8,23.6,8.6,24.3,369.9,52.1,3.9,6.8,0.58,2098,89.3,1,NA,10.3,103,7.15666666666667,8.17,35.1,10.0166666666667,-0.8,NA,68.8,6.77,1193.3,92,NA,2015.4,NA,58.6,LK Saale-Holzland-Kreis,1651,1028,628,1107,1432,1062,2384,2447,2191,2614,3411,3813,1448,3484,5541,6412,41691,1038,1756,1129,760,1477,1613,1149,2394,2802,2405,2885,3608,3929,1497,3419,5045,4469,41360,1023
73,16075,12,6.29666666666667,14.5,66.4,4.5,1.26,70.4,11.9,14.6396716254299,10.8016666666667,1.6,28.3,-3.8,31.5166666666667,6.26333333333333,96.2,76.4,44.1,82.1,159,5.8,9.1,7.6,437,26000,70.4,32.1,7.2,23.6,252.2,44.3,4.1,7,0.74,2047,89.5,1,NA,7.4,72,6.875,8.25333333333333,11.9,11.05,-2.8,NA,60.7,6.20666666666667,1001.8,93.3,NA,1923.5,NA,51.4,LK Saale-Orla-Kreis,1511,1007,570,1133,1407,1010,2120,2223,2073,2529,3246,3798,1349,3466,5418,6940,40749,949,1750,1020,719,1359,1607,1030,2432,2586,2364,2838,3382,3842,1400,3577,4872,4344,40119,997
74,16076,13.1,5.02083333333333,43.3,53.3,4.1,1.51,61.2,22,11.7339383829248,8.44,1.3,29.8,-4.2,14.3083333333333,5.81166666666667,98.2,77.3,44.7,82.4,240,7.5,7.6,9.1,396,19800,61.2,30.9,10.4,30.4,882,38.7,3.5,8.3,0.16,2033,87.2,4,NA,9,120,6.24833333333333,6.25333333333333,22,11.2833333333333,-3,NA,83.3,5.76333333333333,1147.8,90.4,NA,1948.6,NA,57.1,LK Greiz,1818,1153,595,1123,1449,1187,2362,2554,2358,3054,4069,4740,1522,4535,6891,9422,49833,1001,2064,1190,816,1482,1564,1257,2649,2968,2709,3226,4283,4683,1581,4465,6297,6032,48326,1060
